config,row_id,true_color,written_color,correct,value_source,pixel_value,pixel_conf,pixel_region,pixel_declined,probe_value,estimators_agree,pixel_correct,probe_correct
full,bags_010,purple,white,0.0,,,,,False,,,,
full,bags_024,pink,pink,1.0,pixel,pink,0.8673209741912032,foreground,False,pink,True,1.0,1.0
full,bags_041,brown,pink,0.0,,,,,False,,,,
full,chair_018,black,,,pixel,black,0.8555499239736442,foreground,False,brown,False,1.0,0.0
full,earring_002,orange,orange,1.0,pixel,orange,0.7688008130081301,foreground,False,orange,True,1.0,1.0
full,earring_008,green,green,1.0,pixel,green,0.7122047244094488,foreground,False,green,True,1.0,1.0
full,hats_033,red,red,1.0,pixel,red,0.8815272318921954,foreground,False,red,True,1.0,1.0
full,hats_049,gray,,,pixel,gray,0.5849825378346915,foreground,False,green,False,1.0,0.0
full,hats_059,blue,blue,1.0,pixel,blue,0.9286946520989074,foreground,False,blue,True,1.0,1.0
full,lamp_035,brown,brown,1.0,pixel,brown,0.6111665004985045,foreground,False,brown,True,1.0,1.0
full,ring_017,red,red,1.0,pixel,red,0.894649523019494,foreground,False,red,True,1.0,1.0
full,rug_019,purple,purple,1.0,pixel,purple,0.6643529995042142,foreground,False,purple,True,1.0,1.0
full,shirts_018,brown,brown,1.0,pixel,brown,0.8895582329317269,foreground,False,brown,True,1.0,1.0
full,shirts_023,blue,blue,1.0,pixel,blue,0.9081486776268763,foreground,False,blue,True,1.0,1.0
full,shirts_058,orange,orange,1.0,pixel,orange,0.9226847918436704,foreground,False,orange,True,1.0,1.0
full,suitcase_053,black,,,pixel,black,0.8784067085953878,foreground,False,green,False,1.0,0.0
full,table_051,purple,brown,0.0,,,,,False,,,,
full,wall_art_019,blue,,,pixel,black,0.5723877465379773,foreground,False,green,False,0.0,0.0
full,wall_art_031,black,,,pixel,black,0.5723877465379773,foreground,False,green,False,1.0,0.0
no_arbiter,rug_019,purple,purple,1.0,pixel,purple,0.6643529995042142,foreground,False,purple,True,1.0,1.0
no_independent,bags_010,purple,white,0.0,,,,,False,,,,
no_independent,bags_024,pink,pink,1.0,pixel,pink,0.8673209741912032,foreground,False,pink,True,1.0,1.0
no_independent,bags_041,brown,pink,0.0,,,,,False,,,,
no_independent,chair_018,black,,,pixel,black,0.8555499239736442,foreground,False,brown,False,1.0,0.0
no_independent,earring_002,orange,orange,1.0,pixel,orange,0.7688008130081301,foreground,False,orange,True,1.0,1.0
no_independent,earring_008,green,green,1.0,pixel,green,0.7122047244094488,foreground,False,green,True,1.0,1.0
no_independent,hats_033,red,red,1.0,pixel,red,0.8815272318921954,foreground,False,red,True,1.0,1.0
no_independent,hats_049,gray,,,pixel,gray,0.5849825378346915,foreground,False,green,False,1.0,0.0
no_independent,hats_059,blue,blue,1.0,pixel,blue,0.9286946520989074,foreground,False,blue,True,1.0,1.0
no_independent,lamp_035,brown,brown,1.0,pixel,brown,0.6111665004985045,foreground,False,brown,True,1.0,1.0
no_independent,ring_017,red,red,1.0,pixel,red,0.894649523019494,foreground,False,red,True,1.0,1.0
no_independent,rug_019,purple,purple,1.0,pixel,purple,0.6643529995042142,foreground,False,purple,True,1.0,1.0
no_independent,shirts_018,brown,brown,1.0,pixel,brown,0.8895582329317269,foreground,False,brown,True,1.0,1.0
no_independent,shirts_023,blue,blue,1.0,pixel,blue,0.9081486776268763,foreground,False,blue,True,1.0,1.0
no_independent,shirts_058,orange,orange,1.0,pixel,orange,0.9226847918436704,foreground,False,orange,True,1.0,1.0
no_independent,suitcase_053,black,,,pixel,black,0.8784067085953878,foreground,False,green,False,1.0,0.0
no_independent,table_051,purple,brown,0.0,,,,,False,,,,
no_independent,wall_art_019,blue,,,pixel,black,0.5723877465379773,foreground,False,green,False,0.0,0.0
no_independent,wall_art_031,black,,,pixel,black,0.5723877465379773,foreground,False,green,False,1.0,0.0
no_gen,bags_010,purple,white,0.0,,,,,False,,,,
no_gen,bags_024,pink,pink,1.0,pixel,pink,0.8673209741912032,foreground,False,pink,True,1.0,1.0
no_gen,bags_041,brown,pink,0.0,,,,,False,,,,
no_gen,chair_018,black,,,pixel,black,0.8555499239736442,foreground,False,brown,False,1.0,0.0
no_gen,earring_002,orange,orange,1.0,pixel,orange,0.7688008130081301,foreground,False,orange,True,1.0,1.0
no_gen,earring_008,green,green,1.0,pixel,green,0.7122047244094488,foreground,False,green,True,1.0,1.0
no_gen,hats_033,red,red,1.0,pixel,red,0.8815272318921954,foreground,False,red,True,1.0,1.0
no_gen,hats_049,gray,,,pixel,gray,0.5849825378346915,foreground,False,green,False,1.0,0.0
no_gen,hats_059,blue,blue,1.0,pixel,blue,0.9286946520989074,foreground,False,blue,True,1.0,1.0
